0,description,topic,tech
MariaDB,The fastest growing Open Source Database,"['Database Engines', 'SQL Features']","['python', 'javascript', 'c/c++', 'perl', 'databases']"
Haiku,Operating system that targets personal computing.,"['desktop', 'kernel']","['c++', 'posix', 'unix']"
Inkscape,Draw freely!,"['web', 'graphics', 'design']","['python', 'c++', 'svg']"
Intel Video and Audio for Linux,We enable Linux Audio and Video for Intel,"['media', 'imaging', 'Codec']","['c/c++', 'opengl', 'Codec', 'Media', 'Imaging']"
checkstyle,Helps to adheres of Java coding standard,"['static code analysis\u200e', 'code review tool', 'coding standards', 'coding conventions']","['java', 'antlr']"
GNU Image Manipulation Program,GIMP is a cross-platform image editor,"['graphics', 'design', 'photography', 'illustration']","['c', 'GEGL']"
GitLab,Everyone can contribute,"['cloud', 'devops']","['javascript', 'ruby on rails', 'go', 'ruby', 'vue']"
PowerDNS,PowerDNS provides open source DNS software,"['DNS recursive solutions', 'Authoritative DNS software']","['c++', 'DNS']"
CERN-HSF,Umbrella for Particle Physics-related projects,"['machine learning', 'big data', 'algorithmics', 'particle physics', 'Performance Optimisation']","['python', 'c/c++', 'data analysis', 'artificial intelligence', 'container orchestration']"
Wellcome Sanger Tree of Life,Genome analysis across the whole tree of life,"['genomics', 'bioinformatics', 'data analysis', 'genome assembly']","['python', 'javascript', 'rust', 'nextflow']"
Kodi,The ultimate entertainment center,"['games', 'audio', 'video', 'media', 'tv']","['python', 'opengl', 'c++', 'ffmpeg', 'sqlite']"
JabRef e.V.,Open Source bibliography manager,"['science', 'library', 'literature', 'latex']","['java', 'javafx', 'bibtex']"
Machine Learning for Science (ML4SCI),Machine learning applications in science,"['machine learning', 'science and medicine', 'algorithms', 'physics', 'astronomy']","['python', 'machine learning', 'c++', 'data analysis', 'artificial intelligence']"
Open Technologies Alliance - GFOSS,Promote Open Standards and Open Source,"['web', 'robotics', 'open hardware', 'c++', 'nodered']","['javascript', 'c/c++', 'nodejs', 'python 3', 'Machine Learning (ML)']"
OpenCV,++ beneficial uses of computer vision in society,"['robotics', 'computer vision', 'ai', 'deep learning']","['python', 'c++', 'deep learning', 'ai']"
DBpedia,Global and Unified Access to Knowledge Graphs.,"['natural language processing', 'semantic web', 'linked data', 'knowledge graph', 'data extraction']","['python', 'javascript', 'java', 'scala', 'rdf']"
Forschungszentrum Jülich,Shaping change: open source for Big Science,"['neuroscience', 'data analytics', 'astrophysics', 'data-intensive science', 'earth-system monitoring']","['python', 'mpi', 'high performance computing', 'pytorch', 'gpu']"
Metasploit,World’s most used penetration testing framework,"['security', 'penetration testing', 'offensive security', 'exploitation']","['c', 'python', 'postgresql', 'ruby', 'assembly']"
TianoCore,"Modern, open source, UEFI BIOS firmware","['firmware', 'uefi', 'edk2', 'acpi', 'BIOS']","['c', 'python', 'rust', 'golang', 'uefi']"
Open Food Facts,Better food choices for your health & the planet,"['open data', 'health', 'environment', 'mobile', 'food']","['python', 'machine learning', 'perl', 'tensorflow', 'flutter']"
Internet Health Report,Monitoring the Internet,"['networking', 'routing', 'communication', 'internet', 'data analytics']","['python', 'javascript', 'apache kafka', 'VueJS']"
Kart Project,Distributed version-control for geospatial data,"['version control', 'gis', 'data', 'point clouds', 'spatial']","['python', 'c++', 'git', 'gis']"
OpenVINO Toolkit,Make AI inference faster and easier to deploy!,"['deep learning', 'Neural networks', 'Edge AI', 'DL-inference']","['python', 'c++', 'x86']"
XWiki,The Advanced Open Source Enterprise Wiki,"['web development', 'wiki', 'platform', 'web applications', 'structured data']","['javascript', 'java', 'html5', 'css3', 'velocity']"
GRAME,Domain specific language for audio,"['audio', 'compiler', 'digital signal processing', 'function programming language']","['c', 'python', 'javascript', 'c++', 'typescript']"
Godot Engine,Multi-platform 2D and 3D game engine,"['graphics', 'cross-platform', 'game engine', 'game development', 'programming']","['opengl', 'c++', 'vulkan', 'webassembly']"
Global Alliance for Genomics and Health,We develop genomics tools to benefit human health,"['web', 'genomics', 'bioinformatics', 'genetics', 'standards']","['python', 'postgresql', 'java', 'react', 'rust']"
Unikraft,Unikraft is a fast and secure unikernel SDK,"['virtualization', 'cloud', 'software reuse', 'software configurability']","['c', 'python', 'xen', 'kvm', 'assembly language']"
MIT App Inventor,Anyone can build apps with global impact.,"['education', 'development tools', 'android']","['javascript', 'java', 'gwt']"
Fortran-lang,High-performance parallel programming language,"['compilers', 'programming languages', 'build systems', 'libraries', 'Fortran']","['python', 'c++', 'fortran']"
libcamera,Provide an open source camera stack for linux,"['camera', 'image prcessing']","['c/c++', 'linux kernel', 'qt5', 'gstreamer', 'v4l2']"
OpenAFS,An opensource distributed filesystem product.,"['testing', 'network', 'storage', 'filesystems']","['c', 'python', 'git', 'ansible', 'filesystems']"
IOOS,"Our eyes on the ocean, coasts, and Great Lakes","['open data', 'data science']","['python', 'ocean science']"
MetaCall,Simplifying the embedding of programming languages,"['cloud', 'polyglot', 'faas', 'languages', 'ffi']","['python', 'c++', 'rust', 'nodejs', 'docker']"
JBoss Community,Community of projects around JBoss Middleware,"['iot', 'cloud', 'microservices', 'kubernetes']","['java', 'rust', 'golang']"
SeaQL,Building data intensive applications in Rust,"['database', 'library', 'framework', 'sql', 'rust']","['mysql', 'postgresql', 'rust', 'sql', 'sqlite']"
Open3D team,A Modern Library for 3D Data Processing,"['3D machine learning', '3D data processing', '3D visualization', 'physically based rendering']","['python', 'c++', 'cuda', 'tensorflow', 'pytorch']"
SPDX,An open ISO standard for SBOMs,"['compliance', 'licensing', 'data', 'vulnerabilities']","['python', 'java', 'json', 'go', 'rdf']"
SCoRe Lab,SCoRe Lab develops FOSS softwares for everyone!!!,"['security', 'web', 'machine learning', 'cloud']","['python', 'java', 'go', 'nodejs', 'reactjs']"
GNU Octave,Free Your Numbers,"['mathematics', 'scientific computing', 'numerical computation', 'numerical methods', 'matlab']","['c++', 'hg']"
XMPP Standards Foundation,XSF develops an open-standard messaging protocol,"['instant messaging', 'chat', 'WebRTC', 'Jingle', 'Real-Time Communication']","['javascript', 'java', 'go', 'vala', 'xmpp']"
Mayor's Office of New Urban Mechanics,Exploring new approaches to civic life.,"['web', 'machine learning', 'gis', 'civic tech', 'analytics']","['python', 'javascript', 'ruby', 'tensorflow']"
Free and Open Source Silicon Foundation,Working together for Free and Open Source Silicon,"['hardware', 'debug', 'web services', 'simulation', 'electronic design tools']","['verilog', 'risc-v', 'compiler', 'web development']"
LibreCube Initiative,Open Source Space and Earth Exploration,"['space', 'cubesat', 'mission control', 'Communication Protocols']","['python', 'mongodb', 'rest', 'micropython', 'zmq']"
The Mifos Initiative,End Poverty One Line of Code at a Time,"['cloud', 'ai', 'fintech', 'financial inclusion', 'mobile banking']","['android', 'java', 'kotlin', 'spring', 'angular']"
