Number,Company
0, Micro Electronics Research Lab - UITU 
1, rocket.chat 
2, Monado 
3, R project for statistical computing 
4, GeomScale 
5, CHIPS Alliance 
6, libcamera 
7, CNCF 
8, Metasploit 
9, Eclipse Foundation 
10, OpenWISP 
11, Casbin 
12, Learning Equality 
13, International Catrobat Association 
14, Jenkins X 
15, DBpedia 
16, Sugar Labs 
17, GNU Radio 
18, Mathesar 
19, Matrix.org 
20, SymPy 
21, MariaDB 
22," Department of Biomedical Informatics, Emory University "
23, omegaUp 
24, Gentoo Foundation 
25, Haskell.org 
26, Intel Video and Audio for Linux 
27, Red Hen Lab 
28, Blender Foundation 
29, Open Technologies Alliance - GFOSS 
30, cBioPortal for Cancer Genomics 
31, INCF 
32, SPDX 
33, Responsible AI and Human Centred Technology 
34, CERN-HSF 
35, Drupal Association 
36, Electron 
37, OpenAstronomy 
38, openSUSE Project 
39, GNSS-SDR 
40, The Linux Foundation 
41, Haiku 
42, Zulip 
43, LibreOffice 
44, The JPF team 
45, The ns-3 Network Simulator Project 
46, OpenStreetMap 
47, MZmine 
48, GNU Compiler Collection (GCC) 
49, QEMU 
50, NumFOCUS 
51, MoveIt 
52, XWiki 
53, Free and Open Source Silicon Foundation 
54, JabRef e.V. 
55, SeaQL 
56, Open3D team 
57, Cuneiform Digital Library Initiative (CDLI) 
58, Neutralinojs 
59, Kodi 
60, Center for Translational Data Science 
61, syslog-ng 
62, OpenVINO Toolkit 
63, The Palisadoes Foundation 
64, CircuitVerse.org 
65, Ruby 
66, BeagleBoard.org 
67, Open Chemistry 
68, LibreHealth 
69, GNU Image Manipulation Program 
70, Internet Health Report 
71, RoboComp 
72, Open Bioinformatics Foundation (OBF) 
73, Performance Co-Pilot 
74, IOOS 
75, OWASP Foundation 
76, BRL-CAD 
77, mlpack 
78, Wagtail 
79, libvirt 
80, coreboot 
81, Oppia Foundation 
82, Inkscape 
83, Mayor's Office of New Urban Mechanics 
84, Python Software Foundation 
85, OpenAFS 
86, moja global 
87, Open Genome Informatics 
88, The NetBSD Foundation 
89, Ceph 
90, Plone Foundation 
91, AboutCode 
92, Kart Project 
93, Dart 
94, PEcAn Project 
95, Swift 
96, checkstyle 
97, Submitty 
98, FreeType 
99, MetaCall 
100, GNU Octave 
101, ArduPilot 
102, GitLab 
103, MuseScore 
104, Forschungszentrum Jülich 
105, MBDyn 
106, PowerDNS 
107, Git 
108, The Mifos Initiative 
109, Django Software Foundation 
110, Chromium 
111, CCExtractor Development 
112, Debian 
113, Keptn 
114, XMPP Standards Foundation 
115, The ENIGMA Team 
116, Society for Arts and Technology (SAT) 
117, sktime 
118, MIT App Inventor 
119, LLVM Compiler Infrastructure 
120, MDAnalysis 
121, FFmpeg 
122, TensorFlow 
123, The Tor Project 
124, Joomla! 
125, OSGeo (Open Source Geospatial Foundation) 
126, freifunk 
127, Ste||ar group 
128, Homebrew 
129, Processing Foundation 
130, GRAME 
131, JBoss Community 
132, libssh 
133, Apache Software Foundation 
134, OpenCV 
135, Jenkins 
136, Flashrom 
137, 52°North Spatial Information Research GmbH 
138, TARDIS RT Collaboration 
139, RTEMS Project 
140, FOSSology 
141, Scala Center 
142, Joplin 
143, Jitsi 
144, Liquid Galaxy project 
145, Xfce 
146, CGAL Project 
147, Godot Engine 
148, RADAR-base 
149, Robolectric 
150, Synfig 
151, PostgreSQL 
152, The Julia Language 
153, SageMath 
154, Global Alliance for Genomics and Health 
155, X.Org Foundation 
156, Software Heritage 
157, Machine Learning for Science (ML4SCI) 
158, Fortran-lang 
159, Public Lab 
160, LibreCube Initiative 
161, SCoRe Lab 
162, MetaBrainz Foundation Inc 
163, Orcasound 
164, Our World In Data 
165, Audacity 
166, Center for Research in Open Source Software (CROSS) 
167, CRIU 
168, KDE Community 
169, National Resource for Network Biology (NRNB) 
170, ReactOS Foundation 
171, Wikimedia Foundation 
172, Mixxx 
173, AnkiDroid 
174, GNOME Foundation 
175, Semi Technologies 
176, CHAOSS 
177, Wellcome Sanger Tree of Life 
178, The Honeynet Project 
179, strace 
180, The FreeBSD Project 
181, Organic Maps 
182, LEAP Encryption Access Project 
183, AOSSIE 
184, Purr Data 
185, VideoLAN 
186, Rizin 
187, Unikraft 
188, Open Food Facts 
189, Polypheny 
190, JdeRobot 
191, TianoCore 
192, FRRouting 
193, Genome Assembly and Annotation 
194, Open Robotics 
195, AFLplusplus 
196, OpenMRS 
197, ScummVM 
0, 52°North GmbH 
1, AboutCode 
2, Accord Project 
3, AerospaceResearch.net 
4, AFLplusplus 
5, Android Graphics Tools Team 
6, AnkiDroid 
7, AOSSIE 
8, Apertium 
9, apertus° Association 
10, ArduPilot 
11, Audacity 
12, BeagleBoard.org Foundation 
13, Bench-Routes 
14, Blender Foundation 
15, Boost C++ Libraries 
16, BRL-CAD 
17, caMicroscope 
18, Casbin 
19, CASTOR 
20, CCExtractor Development 
21," Center for Research in Open Source Software, UC Santa Cruz "
22, Ceph 
23, CERN-HSF 
24, CGAL Project 
25, CHAOSS Project 
26, Chapel 
27, Checkstyle 
28, Chromium 
29, Cilium 
30, CircuitVerse.org 
31, CiviCRM LLC 
32, CloudCV 
33, CNCF 
34, coala 
35, Continuous Delivery Foundation 
36, CRIU 
37, Cuneiform Digital Library Initiative (CDLI) 
38, Dart 
39, DBpedia 
40, Debian 
41, DeepPavlov 
42," Department of Biomedical Informatics (BMI), Emory University School of Medicine "
43, Digital Impact Alliance (DIAL) at UN Foundation 
44, Django Software Foundation 
45, Elm Tooling 
46, FFmpeg 
47, Fortran-lang 
48, FOSSology 
49, FrameNet Brasil (UFJF) 
50, Free and Open Source Silicon Foundation 
51, FreeBSD Project 
52, FreeType 
53, freifunk 
54, FRRouting 
55, Genome Assembly and Annotation 
56, Gentoo Foundation 
57, GeomScale 
58, GFOSS - Open Technology Alliance 
59, Git 
60, GitLab 
61, Global Alliance for Genomics and Health 
62, GNOME Foundation 
63, GNSS-SDR 
64, GNU Compiler Collection (GCC) 
65, GNU Mailman Project 
66, GNU Octave 
67, GNU Radio 
68, Godot Engine 
69, Google FHIR SDK 
70, gprMax 
71, GRR Rapid Response 
72, gVisor 
73, Haiku 
74, Halide 
75, Haskell.org 
76, Hydra Ecosystem 
77, INCF 
78, Inkscape 
79, Integrated Ocean Observing System (IOOS) 
80, Intel Video and Audio for Linux 
